frame,mpjpe_mean,mpjpe_std,pampjpe_mean,pampjpe_std,count,mmwave_points_mean,loc_err_mean,centroid_err_mean
70,48.467915,26.338428,32.477772,14.507218,108,28.731481,0.051210,1.218837
71,45.421200,25.437939,30.164856,11.521253,108,28.388889,0.058797,1.220202
72,48.095036,25.898359,30.705885,12.672342,108,28.666667,0.056909,1.224758
73,49.287132,26.384735,33.661476,18.760698,108,29.666667,0.055863,1.228331
74,48.747784,25.020758,32.049526,13.916472,108,30.805556,0.053841,1.230693
75,46.628555,23.564480,31.282692,12.637234,108,31.314815,0.052465,1.229909
76,47.300781,24.749235,31.305254,14.262617,108,31.657407,0.051938,1.227461
77,45.363823,22.397850,30.599869,13.146587,108,31.611111,0.047052,1.228285
78,46.419815,24.100815,30.693888,14.018498,108,31.166667,0.044687,1.233314
79,46.482594,23.966230,30.799404,13.975196,108,30.722222,0.047223,1.234396
80,45.037167,24.278547,30.473606,12.024451,108,30.990741,0.087943,1.234757
81,47.256233,26.086935,30.156811,13.478621,108,31.055556,0.095002,1.232601
82,47.124386,25.651440,31.008865,11.998672,108,30.870370,0.094610,1.232404
83,46.598900,25.747240,30.660139,11.658670,108,30.703704,0.093072,1.232304
84,90.792038,476.529938,30.674681,18.184010,108,31.064815,0.094608,1.264005
85,92.378410,466.817413,31.861380,18.717043,108,30.888889,0.097207,1.260711
86,88.355408,437.250702,31.494236,20.127184,108,30.953704,0.093652,1.252847
87,89.874695,432.300110,32.700893,20.619223,108,31.175926,0.090647,1.246904
88,88.554581,411.257965,33.591232,22.485638,108,31.444444,0.090478,1.243782
89,85.105080,405.194580,31.284079,20.315876,108,31.694444,0.089740,1.248691
90,85.152039,394.213318,31.880655,21.046082,108,31.694444,0.087881,1.249380
91,86.204651,396.030426,31.771660,22.005833,108,31.685185,0.088599,1.245639
92,85.001709,392.421906,33.571507,24.204931,108,31.750000,0.092753,1.247839
93,52.020313,50.088455,32.061054,15.114499,108,31.370370,0.057553,1.223267
94,50.463528,44.970814,31.221848,15.918643,108,30.907407,0.060264,1.226578
95,52.805103,61.431412,31.112026,16.941252,108,31.185185,0.056024,1.226220
96,51.263252,52.542763,31.536938,15.467403,108,30.842593,0.058428,1.229938
