seq_idx,frame_idx,mpjpe,pampjpe,mmwave_points,loc_err,centroid_err,gt_jerk,pred_jerk,gt_flip,pred_flip,gt_lidar_dist,pred_lidar_dist
791,127,151.820984,35.359867,31,nan,1.094289,0.013004,0.028048,0.000000,0.117647,0.063161,0.092129
791,151,151.809662,38.634808,31,nan,1.123045,0.008126,0.031763,0.000000,0.176471,0.062224,0.088221
791,140,151.776978,30.834549,30,nan,1.159768,0.017286,0.027908,0.058824,0.117647,0.129923,0.059716
791,90,151.514648,28.690308,27,nan,1.167862,0.017587,0.021822,0.176471,0.058824,0.134643,0.072360
791,176,151.366867,36.216743,35,nan,1.131232,0.010366,0.054191,0.058824,0.058824,0.066053,0.079901
791,174,151.346008,31.019680,37,nan,1.153203,0.014483,0.025238,0.000000,0.058824,0.077914,0.063378
791,156,151.340576,42.081413,21,nan,1.060191,0.018330,0.020883,0.235294,0.117647,0.054629,0.090712
791,89,151.139664,24.127214,30,nan,1.167585,0.015545,0.026622,0.000000,0.000000,0.129848,0.071796
791,26,150.677948,40.143280,16,nan,1.079534,0.021814,0.034723,0.058824,0.294118,0.059709,0.082590
791,25,150.474426,36.534664,16,nan,1.084435,0.011810,0.022085,0.000000,0.117647,0.059005,0.082234
791,195,150.084351,41.995827,25,nan,1.172074,0.019137,0.013223,0.352941,0.058824,0.132696,0.067144
791,113,149.954834,26.762421,25,nan,1.162231,0.015047,0.020485,0.000000,0.117647,0.127623,0.058183
791,291,149.877289,43.796764,32,nan,1.082122,0.020218,0.023698,0.235294,0.176471,0.056641,0.091392
791,63,149.787338,31.480312,18,nan,1.170508,0.016036,0.037104,0.000000,0.235294,0.129570,0.072701
791,24,149.624786,35.547218,21,nan,1.096895,0.009814,0.019261,0.058824,0.000000,0.054648,0.088535
791,255,149.462250,29.738632,31,nan,1.148508,0.014088,0.044806,0.058824,0.117647,0.070594,0.072657
791,206,149.438995,41.951057,24,nan,1.069953,0.012500,0.035495,0.117647,0.176471,0.061087,0.091764
791,53,149.275482,40.268517,18,nan,1.061331,0.030767,0.038765,0.588235,0.764706,0.054018,0.092342
791,68,149.171753,27.518015,43,nan,1.170122,0.012462,0.048823,0.058824,0.823529,0.127068,0.063308
315,285,149.161636,69.465103,13,nan,1.075899,0.045255,0.052422,0.117647,0.058824,0.140464,0.130088
315,121,149.144623,67.627861,20,nan,1.094723,0.028515,0.058138,0.117647,0.411765,0.169531,0.136633
791,281,149.089783,35.911366,35,nan,1.149842,0.010264,0.025705,0.000000,0.000000,0.071709,0.065087
791,72,149.036667,31.899334,34,nan,1.143780,0.018473,0.030205,0.058824,0.058824,0.074532,0.070956
791,207,148.904999,42.721409,22,nan,1.062960,0.023087,0.027616,0.176471,0.235294,0.057983,0.079174
791,223,148.843338,31.510639,32,nan,1.168858,0.021989,0.055037,0.352941,0.529412,0.127429,0.061348
791,87,148.805313,26.764559,37,nan,1.166780,0.015441,0.023054,0.000000,0.058824,0.121208,0.063571
791,232,148.179611,40.027378,16,nan,1.090403,0.011035,0.032489,0.058824,0.117647,0.053579,0.094991
791,129,148.072113,36.629528,20,nan,1.064021,0.016557,0.020158,0.058824,0.058824,0.057573,0.092170
791,126,147.985001,37.706631,40,nan,1.107486,0.007128,0.026794,0.000000,0.117647,0.058099,0.084912
791,77,147.929550,36.557243,18,nan,1.072704,0.021856,0.023247,0.058824,0.176471,0.052458,0.091438
791,148,147.661850,37.969715,40,nan,1.163136,0.012803,0.034653,0.000000,0.117647,0.090129,0.059947
791,200,147.440262,36.575058,36,nan,1.156622,0.014424,0.028734,0.058824,0.176471,0.085462,0.060858
791,112,147.177719,31.948425,28,nan,1.158395,0.015435,0.027512,0.058824,0.117647,0.111360,0.056616
791,182,147.134613,38.386307,14,nan,1.056619,0.025612,0.026554,0.352941,0.470588,0.056945,0.090043
791,52,146.931610,42.542542,16,nan,1.062377,0.021907,0.025151,0.235294,0.117647,0.050225,0.091470
189,181,146.930130,193.378326,26,nan,1.217654,0.123686,0.040206,0.235294,0.764706,0.169032,0.061746
791,290,146.919632,36.919670,27,nan,1.064412,0.023930,0.026985,0.352941,0.294118,0.049119,0.094288
791,225,146.903793,35.625343,30,nan,1.166263,0.016540,0.027747,0.117647,0.294118,0.109254,0.057351
791,254,146.724060,31.971008,31,nan,1.155900,0.018054,0.039419,0.000000,0.058824,0.078598,0.063719
791,253,146.659500,38.978996,36,nan,1.163766,0.020345,0.044197,0.117647,0.176471,0.092732,0.060691
315,123,146.646637,101.619316,30,nan,1.081981,0.054064,0.052765,0.235294,0.470588,0.151989,0.132681
791,252,146.603821,33.600361,41,nan,1.166934,0.019628,0.033858,0.058824,0.117647,0.107323,0.057136
791,50,146.326981,40.318592,20,nan,1.087137,0.011487,0.028473,0.058824,0.117647,0.053491,0.090355
791,205,146.172684,41.342766,26,nan,1.086371,0.019620,0.040519,0.058824,0.176471,0.059248,0.090248
791,27,145.925934,33.011215,18,nan,1.071850,0.019715,0.034174,0.176471,0.470588,0.063633,0.077205
791,236,145.916336,37.421619,27,nan,1.058271,0.027144,0.026500,0.705882,0.764706,0.053569,0.095714
791,157,145.619308,37.668758,20,nan,1.060690,0.022219,0.043943,0.529412,0.882353,0.053163,0.091871
791,193,145.430008,31.661554,25,nan,1.163452,0.011422,0.031844,0.000000,0.294118,0.133465,0.070504
387,288,145.328049,117.240417,30,nan,1.310475,0.015314,0.039155,0.000000,0.058824,0.067469,0.044687
791,150,145.252380,36.152637,30,nan,1.139962,0.011414,0.044519,0.058824,0.176471,0.071507,0.072861
791,54,145.072083,36.803158,21,nan,1.064548,0.024639,0.043031,0.529412,0.647059,0.059861,0.085397
791,194,144.995667,29.626741,18,nan,1.169340,0.024756,0.047029,0.470588,0.352941,0.136916,0.069835
791,245,144.851166,32.785347,28,nan,1.161659,0.014602,0.019699,0.000000,0.000000,0.115283,0.061178
565,177,144.637344,17.906809,71,nan,1.341569,0.130123,0.101248,0.000000,0.588235,0.158393,0.067984
791,167,144.230728,26.892233,17,nan,1.169268,0.019422,0.037484,0.058824,0.176471,0.115474,0.056703
791,233,144.209656,43.045246,15,nan,1.073321,0.016707,0.022155,0.058824,0.058824,0.054872,0.091087
791,280,144.205444,36.208790,32,nan,1.154536,0.017019,0.039533,0.000000,0.058824,0.082457,0.059289
791,296,144.153442,44.443394,21,nan,1.156211,0.012091,0.028044,0.000000,0.058824,0.103481,0.053465
791,101,144.090103,35.846420,20,nan,1.094354,0.007134,0.030161,0.000000,0.117647,0.057532,0.086798
315,23,143.935211,81.198868,24,nan,0.725512,0.031539,0.054444,0.058824,0.176471,0.108242,0.120243
565,120,143.868454,23.523930,93,nan,1.296332,0.127809,0.087365,0.000000,0.000000,0.169758,0.073582
565,211,143.867172,50.425285,77,nan,1.418616,0.191075,0.095210,0.000000,0.117647,0.167765,0.066431
791,51,143.844086,42.491577,14,nan,1.070707,0.013076,0.021587,0.058824,0.176471,0.054226,0.091018
791,69,143.592712,23.000578,49,nan,1.173638,0.024619,0.016809,0.294118,0.058824,0.113774,0.056250
791,86,143.332916,33.180363,45,nan,1.159829,0.015438,0.026463,0.117647,0.117647,0.109536,0.053180
791,105,143.306717,42.728714,20,nan,1.061491,0.037151,0.042331,0.882353,0.882353,0.056758,0.088371
791,142,143.164871,33.649078,19,nan,1.167618,0.017269,0.021913,0.176471,0.117647,0.130447,0.065722
791,70,143.105057,31.967218,43,nan,1.167650,0.021358,0.033264,0.176471,0.058824,0.098210,0.056239
791,23,142.956345,31.462423,29,nan,1.112994,0.010804,0.025315,0.000000,0.058824,0.054412,0.085102
791,146,142.932022,37.438999,33,nan,1.166537,0.021494,0.023101,0.235294,0.352941,0.114813,0.066251
189,152,142.821762,158.042480,16,nan,1.224143,0.124128,0.031557,0.411765,0.470588,0.157291,0.078901
791,158,142.713242,37.789272,23,nan,1.063969,0.025272,0.026359,0.588235,0.294118,0.058674,0.085088
791,117,142.626068,35.203190,13,nan,1.166679,0.021227,0.023989,0.470588,0.235294,0.124797,0.062168
387,287,142.587006,116.220772,35,nan,1.293908,0.015512,0.043758,0.000000,0.176471,0.072498,0.050215
791,234,142.523422,41.169384,11,nan,1.062435,0.028872,0.029353,0.235294,0.058824,0.058476,0.094133
791,144,142.507584,28.875675,24,nan,1.167552,0.030270,0.029542,0.823529,0.588235,0.127864,0.065453
791,295,142.355621,42.383755,26,nan,1.142982,0.013570,0.041137,0.058824,0.058824,0.085668,0.056038
791,71,142.108780,30.938919,38,nan,1.154677,0.016981,0.021885,0.117647,0.058824,0.083839,0.062213
805,272,141.976898,30.403982,14,nan,1.245033,0.038498,0.036998,0.058824,0.176471,0.111022,0.043680
791,114,141.936676,33.022228,16,nan,1.166356,0.018991,0.034996,0.000000,0.176471,0.131194,0.065461
128,245,141.846954,99.346886,33,nan,1.351213,0.082411,0.051249,0.411765,0.294118,0.082931,0.066583
791,235,141.748520,41.634586,18,nan,1.058688,0.023677,0.029983,0.235294,0.647059,0.052496,0.094536
791,118,141.606323,37.818760,21,nan,1.168989,0.032064,0.032199,0.764706,0.764706,0.122004,0.062668
791,209,141.577835,44.520111,23,nan,1.069227,0.029639,0.046342,0.352941,0.764706,0.060762,0.084915
